Test Case ID	Test Case Name	Description	Prerequisites	Steps	Expected Result
TC01	Verify UI Elements on Login Page	Ensure all necessary UI elements are present on the Gmail login page.	Navigate to the Gmail login page.	"1. Check the presence of the email/phone input field.
2. Check the presence of the 'Next' button.
3. Verify the presence of the 'Forgot email?' link.
4. Verify the 'Create account' link.
5. Check for the logo and footer links."	All UI elements are present and visible.
TC02	Verify Login with Valid Credentials	Ensure the user can log in with valid credentials.	A Gmail account with valid credentials.	"1. Enter a valid email/phone number.
2. Click the 'Next' button.
3. Enter the correct password.
4. Click the 'Next' button."	The user is redirected to their Gmail inbox.
TC03	Verify Login with Invalid Email	Test error handling for invalid email/phone input.	None.	"1. Enter an invalid email/phone number.
2. Click the 'Next' button."	An appropriate error message is displayed, e.g., 'Couldn't find your Google Account.'
TC04	Verify Login with Incorrect Password	Test error handling for incorrect password input.	A Gmail account.	"1. Enter a valid email/phone number.
2. Click the 'Next' button.
3. Enter an incorrect password.
4. Click the 'Next' button."	An appropriate error message is displayed, e.g., 'Wrong password. Try again.'
TC05	Verify Forgot Email Link	Ensure the 'Forgot email?' link works as expected.	None.	"1. Click the 'Forgot email?' link.
2. Follow the instructions to retrieve the email."	The user is guided through steps to recover their email.
TC06	Verify Forgot Password Functionality	Test the password recovery process.	A Gmail account.	"1. Enter a valid email/phone number.
2. Click the 'Next' button.
3. Click the 'Forgot password?' link.
4. Follow the steps to reset the password."	The password reset process is completed successfully.
TC07	Verify Input Validations	Ensure input validations for email and password fields.	None.	"1. Leave the email/phone field empty and click 'Next.'
2. Leave the password field empty and click 'Next.'
3. Enter invalid characters in the email/phone field."	Appropriate error messages are displayed for each scenario.
TC08	Verify Remember Me Functionality	Test if the 'Remember me' option works.	None.	"1. Check the 'Remember me' option.
2. Log in with valid credentials.
3. Log out and return to the login page."	The email/phone input is pre-filled.
TC09	Verify Performance of Login Page	Ensure the login page loads within acceptable time limits.	None.	1. Measure the time taken to load the login page.	The login page loads in less than 3 seconds.
TC10	Verify Accessibility of Login Page	Ensure the login page meets accessibility standards.	None.	"1. Check for screen reader compatibility.
2. Verify proper contrast ratios.
3. Ensure all interactive elements are keyboard-navigable."	The login page adheres to accessibility guidelines.
